,rent,rooms,living_space,closest_charger,chargers_in_vicinity
1,3200.0,2.5,89.0,856,4.0
3,3450.0,3.5,100.0,370,11.0
4,3485.0,2.5,78.0,1120,0.0
7,2290.0,2.5,56.0,1069,0.0
8,3100.0,4.0,70.0,377,19.0
9,2985.0,2.5,60.0,696,7.0
10,1400.0,2.5,80.0,670,12.0
13,2670.0,3.5,102.0,2505,0.0
15,2995.0,2.5,90.0,623,7.0
16,2450.0,2.5,68.0,839,2.0
18,3511.0,4.5,100.0,5656,0.0
19,4363.0,4.5,143.0,1551,0.0
20,3160.0,2.5,75.0,1479,0.0
21,2137.0,3.0,74.0,1332,0.0
22,3380.0,4.5,102.0,1236,0.0
23,3750.0,3.5,100.0,1484,0.0
25,3290.0,3.5,65.0,397,17.0
28,2760.0,2.5,75.0,973,2.0
29,2040.0,2.5,67.0,1622,0.0
31,1450.0,1.0,10.0,351,5.0
32,1650.0,1.0,12.0,351,5.0
33,1980.0,1.0,15.0,1110,0.0
35,400.0,1.0,17.0,926,15.0
37,1200.0,1.0,16.0,1279,0.0
38,2495.0,2.5,57.0,812,13.0
39,5180.0,5.5,140.0,423,14.0
40,1810.0,2.0,34.0,174,7.0
41,1500.0,2.5,50.0,662,17.0
42,4140.0,6.5,180.0,863,3.0
44,4034.0,2.0,37.0,581,4.0
45,2100.0,1.0,22.0,1110,0.0
46,2100.0,1.0,20.0,1110,0.0
47,2250.0,1.0,25.0,191,39.0
48,2400.0,1.0,30.0,191,39.0
49,2490.0,1.0,20.0,191,39.0
56,2150.0,1.5,35.0,301,18.0
57,2200.0,1.0,20.0,295,6.0
58,2300.0,1.0,17.0,495,8.0
59,2100.0,1.0,18.0,351,5.0
62,2980.0,2.0,45.0,1377,0.0
64,2100.0,1.0,20.0,1321,0.0
65,1980.0,1.0,20.0,191,39.0
67,2750.0,2.0,35.0,551,17.0
68,3300.0,2.5,40.0,551,17.0
69,2300.0,1.0,21.0,495,8.0
71,2950.0,2.0,30.0,495,8.0
72,3590.0,3.5,70.0,1377,0.0
73,2950.0,2.5,55.0,351,5.0
74,2450.0,1.0,25.0,551,17.0
75,2950.0,2.0,45.0,1377,0.0
76,1750.0,1.0,12.0,672,9.0
77,2300.0,1.0,21.0,495,8.0
78,2300.0,1.0,19.0,495,8.0
79,2300.0,1.0,19.0,495,8.0
80,2100.0,1.0,20.0,295,6.0
81,2100.0,1.0,15.0,1321,0.0
82,2200.0,1.5,20.0,1321,0.0
83,2950.0,2.0,60.0,495,8.0
84,2700.0,2.0,37.0,191,39.0
85,7300.0,4.5,174.0,1322,0.0
86,3650.0,4.5,110.0,645,2.0
87,2270.0,2.0,46.0,491,2.0
88,6650.0,4.5,150.0,502,20.0
89,2475.0,2.5,59.0,563,3.0
90,3100.0,2.5,57.0,812,13.0
91,2384.0,1.5,59.0,549,2.0
92,2250.0,2.5,68.0,476,4.0
94,1390.0,1.5,15.0,766,12.0
96,1685.0,3.0,62.0,5656,0.0
97,1270.0,1.0,17.0,634,14.0
98,4190.0,3.5,93.0,594,6.0
99,2970.0,2.0,62.0,277,6.0
100,1710.0,1.0,25.0,548,6.0
101,1375.0,1.5,28.0,902,13.0
102,2410.0,1.5,77.0,633,2.0
103,2600.0,2.5,58.0,1136,0.0
105,2450.0,1.5,45.0,1117,0.0
106,2350.0,3.5,68.0,595,21.0
107,3350.0,3.5,90.0,268,9.0
108,3050.0,4.0,112.0,825,2.0
109,3490.0,3.0,61.0,1661,0.0
110,2950.0,2.5,80.0,847,4.0
111,1990.0,3.5,88.0,881,2.0
112,3190.0,3.5,70.0,1031,0.0
113,2540.0,3.5,105.0,1836,0.0
114,2040.0,3.5,100.0,402,4.0
115,1912.0,3.0,62.0,963,9.0
116,1915.0,3.0,54.0,3054,0.0
117,3500.0,2.5,70.0,130,75.0
119,4200.0,3.0,100.0,1589,0.0
120,1700.0,4.0,90.0,756,3.0
121,4749.0,2.0,54.0,613,4.0
122,4231.0,3.0,80.0,455,83.0
123,3710.0,2.5,60.0,699,13.0
124,3710.0,2.5,50.0,522,3.0
125,2950.0,2.0,30.0,495,8.0
126,3490.0,3.0,45.0,1377,0.0
127,3900.0,3.0,77.0,495,8.0
128,2750.0,2.5,40.0,1110,0.0
131,2900.0,2.5,60.0,1110,0.0
132,3100.0,2.0,60.0,1377,0.0
133,2650.0,2.0,60.0,960,3.0
134,2080.0,1.0,20.0,672,9.0
135,3080.0,2.5,60.0,301,18.0
136,1650.0,1.0,15.0,301,18.0
138,3400.0,3.5,70.0,351,5.0
140,2833.0,2.0,60.0,536,3.0
142,3730.0,2.5,53.0,277,6.0
147,4800.0,5.5,171.0,425,17.0
148,2790.0,2.5,70.0,1253,0.0
149,2490.0,1.5,43.0,338,4.0
150,1342.0,1.5,31.0,1207,0.0
151,1980.0,2.5,52.0,332,1.0
152,2150.0,3.0,70.0,793,13.0
154,3080.0,1.0,29.0,295,6.0
155,2000.0,1.5,40.0,298,9.0
156,2191.0,3.5,80.0,1775,0.0
157,900.0,1.0,28.0,916,2.0
160,2525.0,2.0,53.0,1132,0.0
161,3495.0,4.0,92.0,756,3.0
162,5290.0,3.5,83.0,1132,0.0
165,4241.0,2.0,46.0,581,4.0
166,6325.0,2.0,86.0,1082,0.0
167,1060.0,1.0,11.0,694,6.0
168,3950.0,4.0,90.0,301,18.0
169,3450.0,3.5,75.0,301,18.0
170,3412.0,3.0,60.0,225,39.0
171,4138.0,2.0,37.0,581,4.0
172,3300.0,2.0,35.0,301,18.0
173,3300.0,2.5,45.0,301,18.0
174,3400.0,2.5,55.0,301,18.0
175,3300.0,2.5,40.0,301,18.0
176,2765.0,2.5,75.0,676,13.0
177,2900.0,4.0,82.0,603,3.0
178,1020.0,1.0,16.0,683,1.0
181,3670.0,6.0,158.0,709,2.0
182,3148.0,2.5,121.0,578,11.0
183,2040.0,2.0,53.0,333,9.0
184,1775.0,1.0,25.0,203,6.0
185,2320.0,3.0,53.0,1064,0.0
188,3515.0,2.0,32.0,825,9.0
189,4335.0,2.0,49.0,376,3.0
191,4520.0,2.5,112.0,456,4.0
192,4205.0,3.5,112.0,338,4.0
193,7500.0,3.5,170.0,83,32.0
194,4853.0,2.0,54.0,613,4.0
195,2820.0,2.5,68.0,1997,0.0
196,3770.0,3.5,83.0,2017,0.0
197,1770.0,1.0,24.0,1414,0.0
198,4147.0,2.5,70.0,1051,0.0
199,3458.0,3.5,90.0,83,32.0
200,3710.0,3.5,86.0,83,32.0
201,4180.0,4.5,148.0,128,34.0
203,1520.0,1.0,26.0,1480,0.0
205,4350.0,3.5,101.0,198,11.0
206,1890.0,1.5,47.0,1073,0.0
207,2450.0,2.5,56.0,1299,0.0
208,2740.0,3.5,77.0,1299,0.0
209,2420.0,2.5,64.0,391,2.0
210,2300.0,3.0,65.0,364,2.0
211,2987.0,2.5,59.0,1078,0.0
212,2190.0,4.5,66.0,1607,0.0
213,1890.0,3.5,54.0,1576,0.0
214,2450.0,3.5,75.0,1372,0.0
215,1861.0,3.5,66.0,1318,0.0
216,2320.0,2.5,74.0,745,2.0
217,3430.0,2.5,90.0,1468,0.0
218,3150.0,3.5,85.0,418,7.0
221,2490.0,2.5,64.0,505,2.0
223,2370.0,2.0,64.0,317,4.0
224,2890.0,1.5,76.0,418,11.0
225,4443.0,3.5,89.0,414,11.0
226,2126.0,2.5,67.0,879,12.0
227,2450.0,3.0,77.0,782,2.0
228,3770.0,3.5,83.0,1997,0.0
229,3950.0,3.5,110.0,2017,0.0
230,3530.0,2.5,95.0,2017,0.0
232,165.0,1.0,6.0,470,1.0
233,3280.0,2.5,54.0,209,15.0
234,4500.0,5.5,122.0,1180,0.0
235,3600.0,3.5,90.0,514,17.0
238,2750.0,2.5,74.0,1468,0.0
239,15900.0,3.5,130.0,298,9.0
240,2990.0,3.0,65.0,700,9.0
241,4150.0,4.5,135.0,111,14.0
242,1631.0,1.5,26.0,587,3.0
243,2650.0,3.0,76.0,1408,0.0
244,2900.0,4.0,71.0,1408,0.0
246,3300.0,2.5,46.0,695,10.0
247,2995.0,2.5,82.0,816,9.0
248,6200.0,4.5,122.0,188,18.0
249,3685.0,3.5,107.0,1265,0.0
250,2190.0,4.5,66.0,1582,0.0
251,2485.0,2.0,48.0,428,8.0
252,2350.0,3.5,96.0,1162,0.0
253,3480.0,3.5,113.0,163,3.0
254,3790.0,5.5,128.0,172,3.0
255,2490.0,2.5,72.0,163,3.0
256,3390.0,3.5,107.0,185,81.0
258,2920.0,2.5,71.0,1222,0.0
260,2110.0,3.5,88.0,1636,0.0
261,2570.0,4.0,87.0,1191,0.0
262,3440.0,2.5,71.0,602,9.0
263,1790.0,2.0,36.0,787,11.0
264,1695.0,1.5,40.0,495,11.0
265,3975.0,3.5,90.0,403,4.0
266,3975.0,3.5,90.0,403,4.0
268,3930.0,2.0,41.0,825,9.0
269,5550.0,4.5,132.0,598,9.0
270,3950.0,4.5,120.0,5656,0.0
271,6350.0,5.0,110.0,1178,0.0
272,2230.0,2.5,56.0,872,5.0
274,5160.0,3.5,90.0,495,6.0
275,2420.0,3.0,97.0,1653,0.0
276,2540.0,1.5,52.0,565,2.0
277,2950.0,4.5,81.0,807,2.0
279,4995.0,4.5,125.0,5656,0.0
280,3700.0,3.5,97.0,278,13.0
281,2534.0,2.0,46.0,972,3.0
283,2430.0,3.0,77.0,751,2.0
284,2290.0,1.5,59.0,443,11.0
285,7350.0,5.0,170.0,1036,0.0
286,3190.0,3.0,65.0,717,11.0
287,2150.0,2.0,43.0,1490,0.0
288,15000.0,4.0,240.0,377,19.0
289,1965.0,3.0,60.0,2571,0.0
291,3100.0,2.5,58.0,695,10.0
292,2513.0,2.0,66.0,308,3.0
293,2174.0,3.0,63.0,213,39.0
294,2669.0,3.5,68.0,1253,0.0
295,2190.0,3.0,68.0,260,8.0
296,2790.0,4.5,122.0,1374,0.0
297,2290.0,2.5,46.0,589,17.0
299,1900.0,2.5,45.0,1010,0.0
300,2540.0,3.0,64.0,708,1.0
301,3190.0,3.5,76.0,766,11.0
303,4950.0,4.5,180.0,704,13.0
304,1850.0,3.0,65.0,451,2.0
308,3190.0,2.0,122.0,254,32.0
309,3910.0,3.5,103.0,538,2.0
310,2051.0,3.0,68.0,629,3.0
312,960.0,1.0,21.0,1995,0.0
313,2690.0,2.5,85.0,654,2.0
314,2890.0,3.0,73.0,627,2.0
315,2462.0,2.0,45.0,353,8.0
316,4822.0,2.0,57.0,825,9.0
318,3090.0,1.5,32.0,875,3.0
319,4500.0,2.0,57.0,875,3.0
320,3650.0,3.0,59.0,1065,0.0
321,5250.0,4.5,101.0,424,7.0
324,3570.0,2.5,54.0,353,8.0
325,4290.0,3.5,104.0,1460,0.0
326,3550.0,3.5,72.0,723,2.0
327,3180.0,3.5,88.0,162,1.0
328,6250.0,5.0,107.0,1178,0.0
329,6100.0,5.0,98.0,1178,0.0
330,3680.0,2.5,71.0,95,2.0
331,5550.0,3.5,146.0,202,77.0
332,2085.0,3.5,64.0,1012,0.0
333,3500.0,4.5,100.0,1547,0.0
334,3659.0,3.5,75.0,979,1.0
335,1340.0,1.0,27.0,613,11.0
